cluster_label,persen_sekolah_internet_sd,persen_sekolah_internet_smp,persen_sekolah_internet_sma,persen_guru_sertifikasi_sd,persen_guru_sertifikasi_smp,persen_guru_sertifikasi_sma,rasio_siswa_guru_sd,rasio_siswa_guru_smp,rasio_siswa_guru_sma,rasio_siswa_komputer_sd,rasio_siswa_komputer_smp,rasio_siswa_komputer_sma,persen_lulus_akm_literasi,persen_lulus_akm_numerasi,province_count
Rendah (Low),-2.838144020972188,-3.1663287501571076,-3.4577785615907026,-2.589431780901371,-2.3283359387943765,-2.717108081692457,3.634735077942743,2.402369523150064,1.6316988757997277,3.434759281706072,4.54007159197632,2.680374053413415,0.0,1.4210854715202004e-14,1
Sangat Rendah,-0.6472261015382065,-0.6190790553350773,-0.5464049725704697,-0.6010193399069524,-0.660728720796404,-0.5621598412898072,-0.28163644761117984,-0.559528763281897,-0.5849348677832991,0.20061956526458682,-0.33319896149330175,-0.26455424417871604,0.0,1.4210854715202004e-14,17
Sedang (Medium),0.7788408954185984,0.7415615680864627,0.6561161699011143,0.7383445625426186,0.6836230258500361,0.6315686344453554,-0.10596326589620207,0.21926826688781972,0.5480691666442354,-0.36076096396568297,-0.058407618245067114,0.29372315537479843,0.0,1.4210854715202004e-14,18
Tinggi (High),-0.17814837041306048,0.34256446529709716,0.9365720370686139,-0.4834415664475653,1.2555097270326179,0.90558996360278,3.06042331757896,3.1627906486614217,-1.5530511230798922,-0.35159453982173344,2.175647881821018,-3.4699686991216185,0.0,1.4210854715202004e-14,1
